Date,Open,High,Low,Close,Adj Close,Volume
2015-03-02,485.200012,495.899994,482.600006,484.200012,452.332764,2131848
2015-03-03,485.700012,490.100006,482.799988,482.799988,451.024872,1531815
2015-03-04,482.200012,484.799988,477.299988,484.799988,452.893250,1357239
2015-03-05,485.000000,494.700012,484.200012,491.700012,459.339172,6410600
2015-03-06,492.100006,497.000000,490.899994,491.399994,459.058899,2254052
2015-03-09,491.000000,491.000000,483.299988,486.000000,454.014282,3014319
2015-03-10,484.100006,491.700012,476.299988,476.799988,445.419769,3021597
2015-03-11,478.799988,481.899994,473.500000,476.299988,444.952698,2846700
2015-03-12,477.899994,482.000000,476.000000,476.799988,445.419769,2435742
2015-03-13,469.000000,477.299988,464.600006,472.700012,441.589630,2883432
2015-03-16,474.399994,476.799988,470.799988,474.200012,442.990906,2799930
2015-03-17,474.299988,479.899994,473.000000,478.700012,447.194733,2737903
2015-03-18,478.799988,481.200012,476.399994,478.399994,446.914490,2688449
2015-03-19,480.500000,483.200012,478.100006,481.100006,449.436768,2139141
2015-03-20,482.500000,485.700012,480.299988,480.299988,448.689453,5463975
2015-03-23,480.899994,480.899994,473.131989,478.600006,447.101318,2102024
2015-03-24,479.000000,487.399994,478.299988,481.700012,449.997314,4518671
2015-03-25,480.000000,481.799988,466.299988,468.500000,437.666077,4812250
2015-03-26,465.299988,465.899994,458.399994,465.299988,434.676605,3098097
2015-03-27,465.200012,470.700012,458.399994,461.899994,431.500427,3512404
2015-03-30,465.799988,471.213013,463.399994,469.000000,438.133118,3224397
2015-03-31,468.700012,475.100006,465.399994,466.700012,435.984497,3965255
2015-04-01,465.600006,470.600006,464.700012,468.799988,437.946320,3670201
2015-04-02,467.700012,470.600006,465.000000,469.899994,438.973907,1441801
2015-04-07,469.899994,474.899994,469.899994,473.399994,442.243591,1943573
2015-04-08,470.500000,474.700012,470.500000,472.200012,441.122528,5648824
2015-04-09,474.399994,480.100006,473.553009,476.899994,445.513184,2777786
2015-04-10,478.200012,484.399994,477.100006,484.000000,452.145905,2537991
2015-04-13,483.200012,484.000000,474.000000,477.600006,446.167114,3018671
2015-04-14,476.700012,482.500000,476.000000,480.700012,449.063110,2427516
2015-04-15,479.600006,484.899994,478.299988,483.500000,451.678833,2452747
2015-04-16,485.399994,485.799988,477.600006,479.299988,447.755219,2289558
2015-04-17,478.299988,482.500000,468.500000,469.299988,438.413391,2484656
2015-04-20,469.799988,473.100006,466.799988,472.799988,441.683044,1963479
2015-04-21,476.200012,483.000000,474.500000,478.700012,447.194733,3071048
2015-04-22,479.799988,485.100006,478.299988,481.600006,449.903870,5747334
2015-04-23,482.600006,486.799988,478.799988,486.799988,454.761627,3522918
2015-04-24,488.000000,490.500000,482.700012,484.700012,452.799866,1798159
2015-04-27,483.799988,491.899994,477.200012,491.799988,459.432587,4440273
2015-04-28,491.000000,492.108002,483.399994,488.299988,456.162872,2269983
2015-04-29,488.100006,491.899994,484.799988,485.899994,453.920868,2687549
2015-04-30,485.100006,486.899994,477.299988,486.000000,454.014282,4270885
2015-05-01,484.899994,489.700012,479.000000,489.000000,456.816864,1702802
2015-05-05,489.000000,502.000000,489.000000,496.500000,463.823242,4384961
2015-05-06,501.500000,541.500000,483.500000,536.000000,500.723633,8331167
2015-05-07,541.000000,545.000000,523.500000,526.500000,491.848816,4669173
2015-05-08,535.000000,545.500000,532.500000,543.500000,507.729950,4494536
2015-05-11,544.500000,564.000000,541.500000,556.000000,519.407288,5293731
2015-05-12,556.500000,558.500000,539.000000,541.000000,505.394592,4721932
2015-05-13,543.000000,549.500000,541.500000,543.000000,507.262848,4501643
2015-05-14,540.500000,545.500000,537.500000,544.000000,512.396301,3197295
2015-05-15,543.000000,549.000000,540.000000,544.000000,512.396301,1711429
2015-05-18,545.500000,563.500000,545.500000,561.500000,528.879639,2895001
2015-05-19,560.000000,573.500000,559.500000,570.500000,537.356750,3095806
2015-05-20,571.500000,576.500000,566.500000,575.500000,542.066284,3041186
2015-05-21,574.500000,584.000000,571.500000,574.500000,541.124329,2505080
2015-05-22,575.000000,577.500000,570.500000,572.000000,538.769531,1384657
2015-05-26,572.000000,573.677002,566.000000,567.500000,534.531067,2844482
2015-05-27,567.500000,572.179993,567.500000,570.000000,536.885864,2342965
2015-05-28,575.000000,580.000000,571.500000,577.500000,543.950073,3550719
2015-05-29,577.000000,579.000000,565.000000,568.500000,535.472900,3601272
2015-06-01,570.000000,575.500000,569.000000,573.500000,540.182495,2379915
2015-06-02,578.000000,580.500000,565.500000,567.000000,534.060120,3670773
2015-06-03,567.500000,571.000000,562.500000,562.500000,529.821472,2583668
2015-06-04,561.500000,564.000000,552.000000,557.000000,524.641052,4366068
2015-06-05,556.500000,559.000000,546.500000,547.500000,515.692932,2911727
2015-06-08,547.000000,549.000000,544.500000,544.500000,512.867310,1627173
2015-06-09,543.000000,545.872009,539.708984,541.000000,509.570587,1814095
2015-06-10,540.000000,551.000000,537.500000,549.000000,517.105774,3098781
2015-06-11,549.500000,556.000000,549.000000,554.000000,521.815308,2171033
2015-06-12,553.500000,556.653015,549.500000,551.500000,519.460510,1377137
2015-06-15,550.000000,551.500000,542.500000,545.500000,513.809082,2822004
2015-06-16,544.000000,546.000000,534.500000,543.000000,511.454376,2028683
2015-06-17,544.000000,545.000000,540.179993,540.500000,509.099579,1506451
2015-06-18,539.000000,540.000000,531.000000,539.000000,507.686768,2559417
2015-06-19,540.500000,548.000000,537.190002,539.000000,507.686768,3975199
2015-06-22,546.500000,550.000000,538.000000,540.500000,509.099579,3227436
2015-06-23,544.500000,553.500000,544.500000,549.000000,517.105774,2826055
2015-06-24,547.500000,549.140015,511.000000,516.000000,486.022949,5221762
2015-06-25,515.000000,540.500000,512.000000,536.000000,504.861023,5079234
2015-06-26,533.500000,535.000000,529.500000,530.000000,499.209595,2363073
2015-06-29,513.000000,534.500000,507.500000,526.500000,495.912964,3845819
2015-06-30,522.500000,525.000000,512.500000,512.500000,482.726257,3916931
2015-07-01,514.500000,526.000000,514.179993,520.000000,489.790558,2275787
2015-07-02,520.000000,521.500000,507.500000,510.500000,480.842468,2757903
2015-07-03,509.500000,515.320007,509.500000,510.500000,480.842468,1212338
2015-07-06,505.000000,510.500000,502.875000,508.500000,478.958649,1839643
2015-07-07,510.000000,513.500000,502.000000,502.500000,473.307251,1979931
2015-07-08,504.500000,511.000000,503.000000,506.000000,476.603851,2918506
2015-07-09,506.500000,524.000000,506.500000,519.500000,489.319611,2522992
2015-07-10,524.000000,526.000000,522.000000,524.000000,493.558167,1565566
2015-07-13,527.500000,533.000000,527.500000,533.000000,502.035339,1537689
2015-07-14,532.500000,534.500000,526.500000,533.000000,502.035339,1980595
2015-07-15,531.500000,534.000000,530.000000,531.500000,500.622467,1617768
2015-07-16,532.500000,538.000000,529.000000,535.000000,503.919067,1762512
2015-07-17,536.000000,539.875000,363.390015,530.500000,499.680573,2086764
2015-07-20,530.000000,542.500000,529.750000,536.000000,504.861023,1822360
2015-07-21,535.500000,537.500000,533.000000,535.500000,504.390045,1662575
2015-07-22,528.500000,548.500000,528.500000,541.000000,509.570587,3128903
2015-07-23,547.000000,549.500000,540.000000,543.500000,511.925385,2393159
2015-07-24,543.000000,550.500000,540.500000,541.000000,509.570587,1694061
2015-07-27,539.000000,540.500000,517.500000,520.500000,490.261505,2976905
