Date,Open,High,Low,Close,Adj Close,Volume
2015-03-02,5240.000000,5345.000000,5230.000000,5345.000000,5011.605957,426901
2015-03-03,5350.000000,5350.000000,5235.000000,5255.000000,4927.219727,340797
2015-03-04,5270.000000,5311.060059,5196.799805,5310.000000,4978.788574,373337
2015-03-05,5325.000000,5365.000000,5300.000000,5330.000000,4997.541504,271136
2015-03-06,5340.000000,5360.000000,5290.000000,5305.000000,4974.101074,304591
2015-03-09,5280.000000,5300.379883,5231.709961,5260.000000,4931.907715,302024
2015-03-10,5250.000000,5295.000000,5145.000000,5145.000000,4824.081055,388288
2015-03-11,5160.000000,5200.000000,5140.000000,5200.000000,4875.650879,570895
2015-03-12,5230.000000,5265.000000,5205.000000,5260.000000,4931.907715,283857
2015-03-13,5365.000000,5415.000000,5300.000000,5335.000000,5002.229492,519419
2015-03-16,5360.000000,5411.759766,5355.000000,5385.000000,5049.110840,356760
2015-03-17,5390.000000,5415.000000,5356.620117,5390.000000,5053.798828,247181
2015-03-18,5380.000000,5425.000000,5370.000000,5405.000000,5067.863770,488209
2015-03-19,5410.000000,5450.000000,5395.149902,5425.000000,5086.616211,287235
2015-03-20,5455.000000,5455.000000,5385.000000,5430.000000,5091.304199,379430
2015-03-23,5405.000000,5430.000000,5330.000000,5350.000000,5016.294434,308646
2015-03-24,5330.000000,5400.000000,5325.000000,5335.000000,5002.229492,449866
2015-03-25,5330.000000,5370.000000,5280.000000,5305.000000,4974.101074,446854
2015-03-26,5260.000000,5260.000000,5125.000000,5235.000000,4908.466797,723122
2015-03-27,5255.000000,5291.399902,5205.000000,5240.000000,4913.155273,474240
2015-03-30,5290.000000,5305.000000,5205.000000,5240.000000,4913.155273,469416
2015-03-31,5240.000000,5345.000000,5185.000000,5245.000000,4917.843262,570640
2015-04-01,5245.000000,5285.000000,5186.250000,5225.000000,4899.090820,428913
2015-04-02,5225.000000,5270.000000,5185.000000,5255.000000,4927.219727,302992
2015-04-07,5255.000000,5320.000000,5255.000000,5315.000000,4983.477051,371406
2015-04-08,5300.000000,5320.000000,5251.750000,5290.000000,4960.036621,405082
2015-04-09,5300.000000,5410.000000,5300.000000,5410.000000,5072.551758,427252
2015-04-10,5415.000000,5436.879883,5370.000000,5420.000000,5081.927734,681620
2015-04-13,5405.000000,5420.000000,5350.000000,5390.000000,5053.798828,200728
2015-04-14,5365.000000,5435.000000,5335.000000,5345.000000,5011.605957,314890
2015-04-15,5350.000000,5375.000000,5300.000000,5310.000000,4978.788574,302024
2015-04-16,5340.000000,5340.000000,5210.000000,5225.000000,4899.090820,389791
